"Cohiba Maduro 5 MágicosOct 10, 2023",94,"4 1/2""",52,Medium-Full,Robusto,A dark robusto whose hearty core of spice and earth is beautifully accented by notes of nutmeg and cinnamon that intensify and harmonize on the finish to a very satisfying effect.
"Cohiba Maduro 5 GeniosOct 10, 2023",91,"5 1/2""",52,Medium-Full,Toro,"Though the draw is open and substantial, the burn of this dark cigar is a bit uneven. It starts on the milder side, but picks up with tones of black pepper and coconut. A sweet cola-like note comes in before the slightly nutty finish."
"Cohiba Maduro 5 SecretosOct 10, 2023",89,"4 3/8""",40,Full,Petit Corona,"Smoking this dark, veiny petit corona is like sipping a strong espresso that lingers on the palate from first puff to the finish. It burns slow and cool, producing dense smoke with some black cherry, walnut liqueur and a touch of caramel, although the draw is a bit tight."
"Romeo y Julieta Wide ChurchillSep 19, 2023",87,"5 1/8""",55,Medium-Full,Robusto,"Dark and oily in appearance, this fat robusto has a soft, spongy head. Wood, earth and floral impressions turn charry before a sweet finish hinting of cinnamon. The draw is thin, and the burn, uneven."
"Bolivar New Gold MedalAug 22, 2023",91,"6 1/2""",48,Medium,Toro,"Made with an oily, richly hued wrapper, this cigar burns evenly. It kicks off with a clear note of graham cracker, touches of dried fruit and spice. A sweet note of molasses gives the smoke a fruitcake effect before a finish smacking of peanut. Some tasters experienced a firm draw."
"Por Larrañaga Prometidos Exclusivo FranciaAug 08, 2023",89,"5 1/2""",54,Medium,Toro,"Topped with a flat head and triple-seam cap, this toro opens with a pleasant nut-and-honey sweetness. Floral impressions and touches of almond also emerge with a wisp of vanilla on the finish. It burns mostly even with a slight resistance to the draw. This cigar retails for 28.50 euros in France. "
"Cohiba Maduro 5 MágicosAug 01, 2023",94,"4 1/2""",52,Medium-Full,Robusto,A dark robusto whose hearty core of spice and earth is beautifully accented by notes of nutmeg and cinnamon that intensify and harmonize on the finish to a very satisfying effect.
"Romeo y Julieta Churchill (Tubo)Aug 01, 2023",93,"7""",47,Medium-Full,Churchill,"A back-and-forth interplay of sweet and savory, as every note of graham cracker, vanilla and caramel is balanced by a counter-note of leather, brine and salted peanut. The draw is a touch firm, but the burn is dead even."
"Montecristo Línea 1935 MaltésAug 01, 2023",93,"6""",53,Medium,Toro,"This layered, complex toro starts with a nutty, creamy character before unfolding notes of orange, nougat, coffee and baking spice. Some floral notes come in and out before the finish of honey and German chocolate cake."
"El Rey del Mundo Choix SupremeAug 01, 2023",92,"5""",48,Medium,Robusto,"Floral first puffs become nutty and leathery with a beefy undertone and sweet notes of caramel and molasses. There’s a slight, spicy kick on the finish of this cigar, which draws and burns evenly."
